"","CPU.usage..MHZ.","Memory.usage..KB.","Disk.write.throughput..KB.s.","Network.received.throughput..KB.s.","Network.transmitted.throughput..KB.s."
"2151",152,1098488,15,10,20
"2152",147,989436,13,2,11
"2153",147,989436,13,2,11
"2154",156,1073322,15,12,49
"2155",159,1006214,12,2,25
"2156",154,1165597,14,22,48
"2157",151,871996,14,8,17
"2158",155,930716,14,12,46
"2159",151,843894,13,2,16
"2160",179,1008730,17,65,76
"2161",186,1056545,14,37,43
"2162",191,1000342,17,57,73
"2163",151,978112,13,1,11
"2164",156,936169,13,12,46
"2165",162,1022991,14,10,26
"2166",159,1241095,16,12,48
"2167",190,1283038,13,13,41
"2168",175,1159725,14,27,64
"2169",176,1117782,15,13,34
"2170",162,1168114,14,20,33
"2171",149,1036832,12,6,12
"2172",163,1045221,18,19,20
"2173",153,1059062,13,2,11
"2174",153,1073322,15,12,46
"2175",149,885837,14,2,13
"2176",151,1087164,14,30,16
"2177",149,981048,13,2,11
"2178",150,855219,16,2,11
"2179",161,1274649,13,6,11
"2180",149,1190763,14,2,11
"2181",149,905550,15,2,11
"2182",148,830053,14,1,11
"2183",162,939105,14,40,36
"2184",154,1022991,16,15,31
"2185",179,1148820,13,22,34
"2186",153,997825,14,3,17
"2187",151,939105,14,2,13
"2188",154,939105,13,6,19
"2189",169,989436,15,5,32
"2190",153,1059481,16,17,37
"2191",161,1048157,14,2,27
"2192",194,1335886,17,148,37
"2193",149,1003278,15,2,11
"2194",150,1031379,14,13,19
"2195",149,927780,13,2,11
"2196",150,799015,16,2,11
"2197",170,852283,13,34,33
"2198",175,981048,15,104,16
"2199",158,1031379,15,5,15
"2200",198,1017119,16,56,77
"2201",159,944557,14,20,19
"2202",153,1028443,15,2,12
"2203",176,1154272,13,18,25
"2204",154,1064934,14,35,27
"2205",162,799015,15,22,22
"2206",158,947493,14,7,26
"2207",151,908067,13,2,11
"2208",153,810340,16,1,11
"2209",148,695835,13,1,11
"2210",156,1000342,16,12,46
"2211",150,849347,14,1,11
"2212",149,880384,15,2,11
"2213",148,888773,13,1,11
"2214",151,913939,15,4,12
"2215",159,1056545,12,4,13
"2216",149,1224317,13,2,11
"2217",150,972659,14,2,11
"2218",172,930716,14,50,66
"2219",171,1106877,14,132,67
"2220",149,1148820,16,2,11
"2221",170,1031379,14,11,22
"2222",159,911003,15,12,50
"2223",160,1036832,15,3,13
"2224",171,1039768,14,9,21
"2225",186,1098488,13,35,35
"2226",182,1148820,18,29,37
"2227",162,1201668,13,2,22
"2228",166,1184891,14,16,52
"2229",150,1025507,13,1,11
"2230",157,1042704,13,12,46
"2231",155,969723,12,23,23
"2232",150,1022991,16,2,11
"2233",148,885837,11,2,11
"2234",150,852283,14,5,12
"2235",151,832569,15,2,11
"2236",152,964270,14,2,11
"2237",149,799015,13,1,11
"2238",151,855219,15,2,11
"2239",159,1014602,13,2,11
"2240",156,1033896,14,12,46
"2241",150,897162,14,2,15
"2242",156,846830,14,12,57
"2243",148,863607,12,2,21
"2244",149,746167,14,2,11
"2245",149,955882,13,2,28
"2246",151,897162,15,2,16
"2247",151,964270,14,2,11
"2248",181,989436,16,21,73
"2249",177,1064934,14,17,29
"2250",188,1165597,18,18,54
"2251",181,1274649,12,16,36
"2252",172,1199152,15,21,69
"2253",163,930716,15,10,33
"2254",148,992372,12,2,11
"2255",151,871996,13,2,11
"2256",157,849347,15,12,46
"2257",149,815792,11,2,11
"2258",159,958398,16,12,46
"2259",150,849347,13,11,14
"2260",157,1157208,13,12,46
"2261",148,958398,12,2,13
"2262",157,981048,15,12,46
"2263",158,1092616,12,2,15
"2264",154,1165597,14,12,45
"2265",149,939105,14,2,11
"2266",148,922327,13,2,11
"2267",150,888773,13,1,11
"2268",151,1087164,16,2,11
"2269",190,1050673,14,49,46
"2270",157,1252000,14,17,49
"2271",148,1020055,15,2,11
"2272",147,952946,14,2,11
"2273",147,880384,14,2,11
"2274",152,813276,16,2,11
"2275",156,1232706,12,2,11
"2276",148,1165597,14,2,11
"2277",147,930716,14,1,11
"2278",156,897162,15,12,46
"2279",146,804887,12,1,11
"2280",154,830053,16,12,46
"2281",149,913939,12,2,11
"2282",148,863607,16,2,11
"2283",151,905550,13,2,11
"2284",149,773849,13,2,11
"2285",147,1028443,14,1,11
"2286",147,1003278,16,2,11
"2287",157,1067450,12,2,11
"2288",148,1221381,13,2,11
"2289",166,939105,14,8,25
"2290",154,1123654,13,5,15
"2291",146,989436,12,2,11
"2292",156,1053609,17,12,46
"2293",146,936169,12,2,11
"2294",148,939105,16,2,11
"2295",166,1028443,15,7,29
"2296",153,1095552,14,12,46
"2297",147,972659,12,2,11
"2298",159,1045221,16,12,46
"2299",155,1148820,13,2,11
"2300",153,1221381,13,12,46
"2301",147,989436,13,1,11
"2302",157,857735,14,12,46
"2303",145,950010,13,2,11
"2304",147,955882,17,2,11
"2305",147,869060,12,2,11
"2306",147,793562,14,2,11
"2307",432,1249483,24,52,2374
"2308",424,2323225,26,67,5701
"2309",448,2516163,65,58,5100
"2310",412,2440665,172,42,2594
"2311",160,1987681,14,2,11
"2312",156,1417255,15,12,46
"2313",145,1014602,14,2,11
"2314",145,857735,13,2,11
"2315",144,885837,12,2,11
"2316",157,1095552,15,37,52
"2317",152,933233,13,89,43
"2318",161,1014602,14,181,29
"2319",149,930716,13,2,11
"2320",146,1028443,14,2,11
"2321",146,1098488,13,2,11
"2322",147,897162,15,2,11
"2323",154,1017119,12,2,11
"2324",143,1221381,15,2,11
"2325",144,919391,13,2,13
"2326",152,1048157,14,12,46
"2327",142,1014602,13,2,11
"2328",147,857735,16,2,11
"2329",148,863607,13,2,11
"2330",154,1048157,15,12,46
"2331",147,860671,15,2,11
"2332",153,916455,14,12,46
"2333",138,911003,12,2,11
"2334",142,1025507,14,2,11
"2335",148,1048157,12,2,11
"2336",137,1090100,13,2,11
"2337",142,863607,14,2,11
"2338",146,981048,13,12,46
"2339",139,947493,13,2,11
"2340",141,888773,15,2,11
"2341",140,939105,11,2,11
"2342",148,1073322,15,12,46
"2343",144,913939,13,2,11
"2344",149,1039768,14,12,46
"2345",138,930716,14,2,11
"2346",151,930716,15,12,46
"2347",149,1241095,13,2,11
"2348",141,1151336,14,12,46
"2349",136,983564,14,2,11
"2350",136,874512,13,2,11
"2351",137,726453,13,2,22
"2352",141,933233,16,2,12
"2353",151,966787,13,5,19
"2354",173,1235223,61,20,56
"2355",175,1145884,15,63,75
"2356",180,1098488,15,42,85
"2357",139,1050673,13,2,11
"2358",142,891290,15,2,11
"2359",148,986500,13,2,11
"2360",138,1148820,13,2,11
"2361",140,983564,15,2,11
"2362",140,899678,15,2,13
"2363",138,857735,12,1,11
"2364",143,880384,16,2,11
"2365",140,961334,13,2,11
"2366",143,891290,18,1,11
"2367",141,950010,14,2,11
"2368",142,866124,13,2,11
"2369",138,899678,13,2,11
"2370",143,1006214,15,2,11
"2371",146,1103941,13,2,11
"2372",141,1283038,14,12,46
"2373",137,855219,13,2,11
"2374",144,838441,14,12,46
"2375",136,871996,12,1,11
"2376",140,863607,15,2,11
"2377",138,871996,13,2,11
"2378",139,981048,14,2,11
"2379",141,981048,14,2,11
"2380",144,880384,13,12,47
"2381",138,821664,14,2,11
"2382",146,916455,15,12,46
"2383",145,983564,12,2,11
"2384",137,1210057,13,2,11
"2385",141,832569,15,2,11
"2386",146,986500,14,12,47
"2387",140,978112,12,2,11
"2388",151,989436,16,12,46
"2389",137,978112,13,2,11
"2390",142,908067,15,12,46
"2391",131,964270,15,2,11
"2392",160,866124,15,73,65
"2393",137,1095552,12,1,11
"2394",164,983564,17,20,59
"2395",152,1148820,13,2,16
"2396",147,1159725,14,12,46
"2397",143,899678,14,2,11
"2398",136,952946,13,12,48
"2399",145,939105,12,2,11
"2400",145,888773,14,2,11
"2401",153,799015,12,5,20
"2402",160,983564,17,16,51
"2403",161,1000342,15,11,20
"2404",151,1061998,15,9,16
"2405",147,1067870,12,2,11
"2406",152,871996,15,2,11
"2407",162,1199152,12,2,11
"2408",171,1215929,15,17,55
"2409",183,1115265,15,50,65
"2410",150,981048,14,2,13
"2411",176,1048157,15,61,27
"2412",159,1157208,16,12,46
"2413",158,939105,13,2,33
"2414",195,1090100,16,36,83
"2415",171,1176502,15,13,26
"2416",149,1017119,13,2,11
"2417",160,849347,13,10,19
"2418",169,1017119,16,18,55
"2419",165,1190763,13,15,24
"2420",183,1324981,16,14,37
"2421",151,1050673,13,3,16
"2422",148,955882,13,23,32
"2423",147,1025507,12,12,14
"2424",167,1084228,16,18,55
"2425",150,947493,12,2,22
"2426",162,978112,15,15,50
"2427",177,846830,14,14,29
"2428",158,860671,13,12,46
"2429",153,832569,14,5,23
"2430",151,930716,16,2,12
"2431",159,849347,13,2,11
"2432",149,1078775,14,2,11
"2433",150,930716,15,2,11
"2434",157,855219,14,13,57
"2435",150,840958,14,2,11
"2436",149,810340,16,2,17
"2437",145,838441,12,2,11
"2438",144,913939,14,2,11
"2439",149,913939,14,2,11
"2440",157,1081711,14,12,50
"2441",151,997825,14,2,13
"2442",171,939105,17,91,84
"2443",168,1106877,14,6,17
"2444",155,1182374,15,12,46
"2445",148,821664,15,2,11
"2446",147,880384,14,2,14
"2447",151,941621,14,2,22
"2448",185,991953,17,23,44
"2449",154,941621,13,14,18
"2450",159,927780,15,12,45
"2451",161,1028443,15,41,20
"2452",175,1115265,14,25,63
"2453",151,969723,12,1,11
"2454",154,961334,15,2,11
"2455",162,1084228,13,2,15
"2456",157,1112329,14,12,46
"2457",153,913939,15,2,11
"2458",153,913939,14,10,14
"2459",152,964270,13,2,13
"2460",152,950010,16,2,11
"2461",154,863607,13,2,15
"2462",163,1134559,16,12,57
"2463",156,1101005,15,3,26
"2464",154,975176,13,3,23
"2465",171,1087164,15,11,31
"2466",175,1137495,16,19,65
"2467",174,1050673,12,9,26
"2468",166,1400478,14,14,53
"2469",184,1157208,15,18,34
"2470",158,989436,13,12,46
"2471",192,964270,14,54,38
"2472",253,1081711,18,93,110
"2473",199,1073322,14,47,42
"2474",157,1115265,15,3,14
"2475",153,846830,15,2,11
"2476",160,905550,14,12,46
"2477",152,997825,14,2,19
"2478",153,958818,15,2,11
"2479",163,975595,11,2,11
"2480",153,1109393,13,2,17
"2481",153,936169,14,5,12
"2482",151,924844,14,2,11
"2483",176,1017119,14,61,42
"2484",172,978112,16,17,25
"2485",172,939105,12,8,18
"2486",159,966787,14,12,46
"2487",168,1184891,14,56,29
"2488",161,1045221,15,25,53
"2489",248,1087164,15,225,44
"2490",153,1106877,15,2,11
"2491",162,947493,13,9,12
"2492",159,1126171,14,45,17
"2493",153,885837,13,2,11
"2494",158,855219,14,12,53
"2495",153,930716,12,2,22
"2496",162,986500,16,12,47
"2497",172,913939,14,99,39
"2498",170,1123654,15,9,26
"2499",174,1067450,15,13,26
"2500",167,989436,14,13,59
"2501",175,936169,14,10,29
"2502",201,991953,16,24,45
"2503",222,1207540,16,90,67
"2504",234,1241095,16,182,140
"2505",152,930716,14,1,11
"2506",164,922327,14,6,19
"2507",157,972659,13,3,14
"2508",159,902614,16,12,49
"2509",152,843894,12,2,11
"2510",155,1117782,15,12,53
"2511",153,933233,15,1,11
"2512",155,924844,13,32,24
"2513",153,871996,14,2,11
"2514",152,857735,15,2,11
"2515",161,894226,12,2,13
"2516",159,1142948,15,24,18
"2517",152,1059062,14,2,14
"2518",160,936169,14,12,46
"2519",189,902614,15,62,47
"2520",189,1081711,17,24,36
"2521",165,1048157,13,8,21
"2522",151,863607,15,2,11
"2523",153,877448,14,2,11
"2524",163,952946,16,19,22
"2525",192,981048,18,48,38
"2526",206,1168533,19,55,76
"2527",188,1106877,15,30,30
"2528",165,1263324,15,19,50
"2529",168,989436,16,16,28
"2530",169,1081711,16,20,24
"2531",163,1006214,14,27,23
"2532",161,1056545,15,14,51
"2533",152,955882,13,2,15
"2534",152,981048,14,2,11
"2535",152,930716,13,1,11
"2536",160,888773,15,140,72
"2537",153,846830,12,2,16
"2538",173,964270,16,17,56
"2539",182,1053609,13,9,25
"2540",182,1254936,14,22,61
"2541",153,1017119,13,1,11
"2542",175,986500,13,10,28
"2543",173,1159725,13,14,30
"2544",189,1033896,17,49,46
"2545",186,991953,13,92,61
"2546",166,989436,16,21,40
"2547",161,952946,15,6,17
"2548",157,897162,15,6,14
"2549",153,952946,13,2,15
"2550",159,952946,15,12,46
"2551",164,1148820,14,2,15
"2552",152,1408867,13,2,11
"2553",151,1033896,14,2,11
"2554",152,902614,14,2,11
"2555",153,955882,13,2,11
"2556",154,1067450,14,45,16
"2557",152,981048,13,2,11
"2558",157,972659,14,12,46
"2559",154,1031379,12,5,12
"2560",152,871996,14,2,11
"2561",152,897162,13,1,11
"2562",161,1031379,15,12,46
"2563",162,972659,11,2,11
"2564",158,1207540,13,12,48
"2565",151,1022991,14,1,11
"2566",152,863607,13,2,11
"2567",151,762944,13,1,11
"2568",150,947493,15,1,11
"2569",158,897162,13,69,30
"2570",159,939105,15,12,46
"2571",170,1020055,16,45,30
"2572",158,1017538,14,12,46
"2573",152,944557,12,1,11
"2574",155,877448,14,2,11
"2575",163,1090100,12,2,11
"2576",151,1215929,14,2,11
"2577",152,869060,13,1,11
"2578",158,972659,13,12,46
"2579",150,986500,13,1,11
"2580",160,989436,15,12,46
"2581",151,981048,12,2,11
"2582",159,961334,14,12,46
"2583",154,969723,13,2,15
"2584",160,936169,13,12,46
"2585",152,913939,13,1,11
"2586",163,899678,15,12,51
"2587",163,969723,12,2,11
"2588",158,1109393,14,12,46
"2589",154,891290,14,1,11
"2590",159,913939,15,12,46
"2591",160,855219,15,4,18
"2592",161,1106877,17,12,46
"2593",151,1048157,12,2,11
"2594",159,997825,16,12,48
"2595",155,955882,14,2,11
"2596",165,855219,51,3,49
"2597",152,1249483,37,2,11
"2598",159,922327,15,12,46
"2599",159,897162,12,2,11
"2600",149,1134559,14,2,11
"2601",150,924844,14,1,11
"2602",147,852283,14,2,11
"2603",149,860671,13,1,11
"2604",157,1017119,16,12,46
"2605",151,991953,12,2,11
"2606",159,1101424,16,161,19
"2607",154,916455,13,2,15
"2608",152,986500,13,2,11
"2609",152,981048,12,2,11
"2610",144,967206,15,12,46
"2611",145,1056545,13,2,11
"2612",138,1210057,13,2,11
"2613",153,913939,13,1,11
"2614",159,905550,14,12,46
"2615",152,843894,13,2,11
"2616",159,818728,15,12,46
"2617",152,796498,13,2,11
"2618",158,1056545,15,12,46
"2619",153,866124,14,2,11
"2620",152,1011666,14,2,11
"2621",152,838441,13,1,11
"2622",159,997825,14,12,46
"2623",161,922327,12,2,11
"2624",151,1199152,13,2,15
"2625",155,888773,15,2,15
"2626",159,981048,14,12,46
"2627",152,905550,12,1,11
"2628",158,913939,15,12,46
"2629",151,930716,12,2,11
"2630",157,939105,15,12,46
"2631",153,852283,14,1,11
"2632",159,1006214,14,12,46
"2633",154,846830,12,2,11
"2634",154,849347,14,1,11
"2635",160,967206,13,2,11
"2636",151,1078775,14,2,11
"2637",152,1033896,14,2,14
"2638",158,983564,13,12,46
"2639",152,1003278,12,1,11
"2640",159,874512,15,12,45
"2641",151,838441,13,2,11
"2642",164,1008730,45,12,46
"2643",147,961334,14,1,13
"2644",151,958818,13,2,11
"2645",151,908067,12,1,11
"2646",159,1061998,15,12,46
"2647",160,1129107,12,2,11
"2648",151,1229770,13,2,11
"2649",159,958398,14,84,44
"2650",168,955882,14,205,127
"2651",152,1033896,13,1,11
"2652",153,1075839,15,1,11
"2653",154,813276,13,2,11
"2654",160,955882,18,12,46
"2655",149,880384,14,1,11
"2656",153,888773,14,2,11
"2657",153,830053,12,1,11
"2658",159,964270,15,12,46
"2659",162,997825,13,2,11
"2660",158,1224317,14,12,46
"2661",153,1039768,14,2,15
"2662",154,1022991,15,2,14
"2663",170,1020055,13,9,24
"2664",175,1095552,17,12,28
"2665",152,983564,12,2,11
"2666",152,975176,15,2,11
"2667",154,846830,13,1,11
"2668",162,981048,14,12,46
"2669",151,922327,13,1,11
"2670",158,877448,15,12,45
"2671",162,936169,14,2,11
"2672",154,1302331,14,12,46
"2673",153,1020055,15,1,11
"2674",159,997825,14,12,46
"2675",152,916455,12,1,11
"2676",153,978112,15,1,11
"2677",151,1039768,14,2,18
"2678",158,1014602,15,12,46
"2679",153,1008730,14,1,11
"2680",160,871996,14,12,46
"2681",154,936169,13,2,16
"2682",159,1064934,15,12,46
"2683",160,1078775,13,2,11
"2684",158,1338822,15,12,46
"2685",154,964270,14,2,22
"2686",153,846830,13,2,11
"2687",153,863607,12,1,11
"2688",159,897162,15,12,46
"2689",156,922327,13,2,12
"2690",167,1148820,17,21,30
"2691",167,1090100,15,12,23
"2692",174,972659,14,16,24
"2693",156,972659,13,2,11
"2694",152,939105,15,1,11
"2695",161,1067450,13,2,11
"2696",162,1319109,14,16,48
"2697",152,1000342,12,1,11
"2698",158,936169,13,51,28
"2699",156,1011666,12,22,17
"2700",160,986500,15,12,46
"2701",162,815792,13,53,13
"2702",158,955882,15,6,16
"2703",153,1014602,14,2,11
"2704",161,986500,14,12,46
"2705",151,1006214,12,1,11
"2706",158,899678,15,12,46
"2707",159,966787,13,2,11
"2708",158,1190763,14,11,25
"2709",177,1020055,16,25,26
"2710",161,1112329,14,23,50
"2711",154,941621,12,1,11
"2712",159,975176,15,12,46
"2713",151,857735,13,2,11
"2714",153,972659,15,40,30
"2715",162,908067,14,147,78
"2716",156,1090100,13,33,24
"2717",159,1014602,14,41,35
"2718",161,964270,15,123,58
"2719",167,986500,13,27,25
"2720",166,1316592,14,58,66
"2721",170,1115265,15,8,20
"2722",178,1064934,15,25,60
"2723",161,1157208,13,10,18
"2724",160,981048,15,12,46
"2725",152,952946,13,2,11
"2726",157,922327,15,4,21
"2727",155,916455,14,1,11
"2728",151,978112,14,2,11
"2729",153,983564,13,1,11
"2730",161,952946,15,12,46
"2731",164,961334,12,2,17
"2732",153,1330433,13,2,11
"2733",155,994889,14,8,13
"2734",159,1081711,14,12,46
"2735",157,1137495,13,5,14
"2736",160,981048,14,12,46
"2737",151,908067,12,2,11
"2738",149,936169,14,1,11
"2739",153,838441,14,1,11
"2740",160,975176,14,12,47
"2741",155,916455,13,5,14
"2742",152,950010,16,4,12
"2743",162,1061998,14,2,15
"2744",155,1338822,15,9,26
"2745",152,1006214,13,1,11
"2746",159,1056545,14,12,46
"2747",151,888773,12,1,11
"2748",153,1014602,15,1,11
"2749",152,947493,13,2,11
"2750",151,1073322,15,2,11
"2751",152,880384,13,1,11
"2752",152,855219,14,2,12
"2753",151,972659,13,1,11
"2754",153,955882,15,1,12
"2755",160,911003,12,2,11
"2756",159,1246547,14,12,46
"2757",155,927780,14,20,21
"2758",153,1045221,14,23,24
"2759",150,983564,13,2,18
"2760",155,964270,15,1,11
"2761",160,1011666,12,157,80
"2762",153,924844,16,12,16
"2763",154,986500,14,1,11
"2764",154,874512,13,2,11
"2765",156,911003,12,1,11
"2766",160,1078775,15,12,48
"2767",162,933233,13,2,17
"2768",177,1355599,14,14,32
"2769",179,1157208,15,11,38
"2770",160,1020055,14,12,46
"2771",152,1048157,13,2,11
"2772",154,947493,14,2,15
"2773",155,964270,12,3,12
"2774",179,1087164,15,16,31
"2775",175,1059062,13,15,25
"2776",159,1022991,14,12,46
"2777",153,947493,12,2,11
"2778",156,964270,14,2,11
"2779",162,950010,12,2,15
"2780",163,1257872,14,12,50
"2781",156,947493,13,2,23
"2782",153,871996,13,2,11
"2783",160,997825,13,6,17
"2784",153,947493,14,2,13
"2785",155,888773,13,2,11
"2786",158,964270,15,12,48
"2787",153,888773,14,1,11
"2788",153,860671,14,2,11
"2789",154,891290,13,2,11
"2790",201,1087164,15,82,72
"2791",166,1045221,14,45,30
"2792",160,1154272,14,13,46
"2793",154,911003,13,1,11
"2794",155,813276,14,2,28
"2795",152,827117,13,1,11
"2796",160,1031379,14,12,45
"2797",154,991953,13,2,11
"2798",151,1006214,15,5,15
"2799",157,1022991,14,2,11
"2800",157,1061998,14,12,46
"2801",153,961334,12,1,11
"2802",161,930716,14,12,46
"2803",162,1053609,12,2,11
"2804",156,1212993,13,12,46
"2805",153,983564,13,1,11
"2806",152,832569,13,2,11
"2807",150,846830,12,1,11
"2808",159,737778,15,12,46
"2809",152,721001,12,2,11
"2810",151,846830,15,2,11
"2811",153,880384,15,1,11
"2812",154,888773,13,2,11
"2813",153,955882,12,1,11
"2814",154,955882,15,1,11
"2815",161,1014602,12,2,11
"2816",150,1134559,14,2,11
"2817",152,905550,13,1,11
"2818",160,927780,15,12,46
"2819",150,824181,12,1,11
"2820",159,944557,16,12,50
"2821",149,810340,13,2,11
"2822",158,1017119,14,12,46
"2823",154,986500,15,1,11
"2824",159,1022991,14,12,46
"2825",151,897162,14,2,16
"2826",160,947493,14,12,46
"2827",158,983564,12,2,11
"2828",150,1341758,14,2,11
"2829",151,1050673,13,1,11
"2830",151,1045221,14,2,11
"2831",152,930716,14,2,15
"2832",155,897162,15,1,11
"2833",180,801951,13,16,33
"2834",191,927780,17,36,68
"2835",169,1022991,15,8,25
"2836",159,1045221,15,12,53
"2837",153,1073322,13,1,11
"2838",161,939105,15,12,46
"2839",164,888773,12,2,11
"2840",159,1207540,14,12,64
"2841",151,922327,15,1,11
"2842",153,846830,14,2,15
"2843",152,1039768,12,1,11
"2844",152,1031379,15,1,11
"2845",152,871996,13,2,11
"2846",152,796498,14,2,11
"2847",152,950010,14,1,11
"2848",158,994889,14,12,46
"2849",152,860671,13,1,11
"2850",153,989436,15,1,11
"2851",160,911003,12,2,11
"2852",157,1204604,13,12,46
"2853",151,961334,13,1,11
"2854",157,1045221,13,12,46
"2855",151,919391,13,1,11
"2856",158,877448,15,12,46
"2857",152,804887,12,2,11
"2858",151,882901,13,2,11
"2859",152,991953,13,2,16
"2860",152,815792,13,2,11
"2861",152,978112,13,2,11
"2862",153,882901,15,2,11
"2863",161,991953,13,2,11
"2864",152,1344274,14,2,15
"2865",151,991953,12,1,11
"2866",152,955882,14,2,11
"2867",152,944557,12,2,11
"2868",162,1006214,15,12,46
"2869",152,871996,12,2,11
"2870",162,1048157,15,12,46
"2871",154,955882,15,2,11
"2872",152,922327,14,2,11
"2873",152,989436,11,1,11
"2874",159,905550,15,12,45
"2875",162,964270,12,2,11
"2876",151,1190763,14,2,11
"2877",153,913939,14,1,11
"2878",152,827117,13,2,11
"2879",153,902614,12,1,11
"2880",162,919391,17,12,45
"2881",152,1145884,12,2,11
"2882",145,989436,14,1,11
"2883",146,1031379,14,2,11
"2884",152,1053609,13,12,46
"2885",148,1006214,12,2,11
"2886",159,911003,14,12,46
"2887",159,969723,12,2,11
"2888",149,1352663,14,2,11
"2889",148,1006214,14,2,15
"2890",152,894226,14,2,11
"2891",153,855219,13,1,11
"2892",161,1020055,16,12,46
"2893",163,1020055,68,3,47
"2894",156,1103941,15,12,46
"2895",150,936169,13,1,11
"2896",146,916455,13,2,11
"2897",145,975176,12,1,12
"2898",147,911003,14,1,11
"2899",156,969723,12,2,11
